,last,ask1,asize1,bid1,bsize1,oi,volume
2021-01-05 09:20:13.840,0.2,0.2,1.0,0.2,1.0,13071.0,
2021-01-05 09:21:35.321,0.2,0.2,2.0,0.2,2.0,13071.0,
2021-01-05 09:24:12.871,0.1979,0.1979,2.0,0.1979,2.0,13071.0,
2021-01-05 09:24:31.200,0.1978,0.1978,2.0,0.1978,2.0,13071.0,
2021-01-05 09:24:52.651,0.1961,0.1961,2.0,0.1961,2.0,13071.0,
2021-01-05 09:24:58.171,0.1961,0.1961,3.0,0.1961,3.0,13071.0,
2021-01-05 09:24:58.680,0.1954,0.1954,5.0,0.1954,5.0,13071.0,
2021-01-05 09:24:59.681,0.1954,0.1954,5.0,0.1954,5.0,13071.0,
2021-01-05 09:25:00.080,0.1954,0.1954,1.0,0.195,1.0,13070.0,5.0
2021-01-05 09:30:00.451,0.192,0.1935,1.0,0.191,20.0,13074.0,11.0
2021-01-05 09:30:00.991,0.19,0.1921,20.0,0.1888,1.0,13078.0,46.0
2021-01-05 09:30:01.481,0.1888,0.1921,20.0,0.1888,1.0,13079.0,48.0
2021-01-05 09:30:01.990,0.1888,0.1917,20.0,0.188,2.0,13079.0,49.0
2021-01-05 09:30:02.511,0.188,0.191,20.0,0.187,1.0,13081.0,51.0
2021-01-05 09:30:03.471,0.188,0.192,20.0,0.187,21.0,13081.0,51.0
2021-01-05 09:30:03.980,0.192,0.192,15.0,0.187,21.0,13086.0,56.0
2021-01-05 09:30:04.430,0.192,0.1914,20.0,0.187,21.0,13086.0,56.0
2021-01-05 09:30:05.010,0.192,0.1904,20.0,0.187,1.0,13086.0,56.0
2021-01-05 09:30:05.481,0.1904,0.1903,3.0,0.187,1.0,13091.0,61.0
2021-01-05 09:30:05.990,0.1904,0.1898,20.0,0.187,1.0,13091.0,61.0
2021-01-05 09:30:06.480,0.187,0.187,1.0,0.1852,20.0,13092.0,62.0
2021-01-05 09:30:06.971,0.187,0.187,21.0,0.185,1.0,13092.0,62.0
2021-01-05 09:30:07.471,0.187,0.1869,3.0,0.185,1.0,13092.0,62.0
2021-01-05 09:30:08.001,0.187,0.187,21.0,0.185,1.0,13092.0,62.0
2021-01-05 09:30:08.520,0.187,0.1869,3.0,0.185,1.0,13092.0,62.0
2021-01-05 09:30:08.960,0.187,0.187,20.0,0.185,1.0,13092.0,63.0
2021-01-05 09:30:09.490,0.187,0.1869,3.0,0.185,1.0,13092.0,63.0
2021-01-05 09:30:09.970,0.1869,0.1869,18.0,0.185,1.0,13097.0,68.0
2021-01-05 09:30:10.501,0.185,0.1876,20.0,0.184,2.0,13098.0,69.0
2021-01-05 09:30:11.000,0.1872,0.1872,19.0,0.184,2.0,13099.0,70.0
2021-01-05 09:30:11.521,0.1872,0.1872,20.0,0.184,2.0,13099.0,70.0
2021-01-05 09:30:11.980,0.1872,0.187,20.0,0.184,2.0,13099.0,70.0
2021-01-05 09:30:13.000,0.184,0.184,18.0,0.1836,20.0,13101.0,75.0
2021-01-05 09:30:13.390,0.184,0.186,20.0,0.182,23.0,13129.0,103.0
